User_ID,Age,Gender,City,Profession,Monthly_Income_PKR,Account_Type,Account_Age_Years
USER_1000,58,Male,Karachi,Retired,66000,Savings,3.7
USER_1001,24,Male,Sialkot,Doctor,217000,Savings,1.9
USER_1002,50,Male,Quetta,Government Employee,154000,Salary,10.7
USER_1003,32,Female,Sialkot,Teacher,113000,Savings,11.5
USER_1004,62,Female,Multan,Teacher,70000,Savings,14.4
USER_1005,24,Female,Hyderabad,Housewife,15000,Current,9.3
USER_1006,64,Female,Quetta,Housewife,20000,Savings,8.5
USER_1007,57,Female,Sialkot,Government Employee,152000,Savings,1.2
USER_1008,67,Female,Lahore,Government Employee,174000,Savings,6
USER_1009,58,Female,Islamabad,Engineer,213000,Savings,10.2
USER_1010,61,Male,Sialkot,Driver,36000,Salary,11.1
USER_1011,47,Female,Faisalabad,Driver,53000,Salary,3.7
USER_1012,67,Male,Rawalpindi,Student,36000,Current,6.3
USER_1013,31,Female,Rawalpindi,Driver,46000,Current,13.3
USER_1014,47,Male,Faisalabad,Salaried Employee,102000,Salary,8.6
USER_1015,65,Female,Sialkot,Doctor,390000,Savings,15
USER_1016,50,Female,Lahore,Student,38000,Savings,2.7
USER_1017,68,Female,Sialkot,Housewife,20000,Current,9.1
USER_1018,51,Female,Quetta,Student,32000,Salary,2.2
USER_1019,66,Female,Multan,Housewife,10000,Current,2.8
USER_1020,64,Female,Quetta,Salaried Employee,137000,Savings,13.1
USER_1021,58,Male,Islamabad,Engineer,162000,Salary,14.3
USER_1022,18,Female,Peshawar,Student,14000,Current,13.2
USER_1023,33,Male,Rawalpindi,Freelancer,111000,Savings,11.1
USER_1024,66,Male,Islamabad,Driver,46000,Salary,2.9
USER_1025,56,Female,Rawalpindi,Business Owner,942000,Salary,10.5
USER_1026,37,Female,Multan,Shopkeeper,216000,Current,2.3
USER_1027,22,Female,Karachi,Freelancer,360000,Savings,9
USER_1028,22,Female,Rawalpindi,Housewife,0,Current,1.5
USER_1029,35,Female,Rawalpindi,Business Owner,289000,Salary,14.1
USER_1030,54,Female,Rawalpindi,Shopkeeper,187000,Savings,1.9
USER_1031,45,Female,Hyderabad,Doctor,445000,Salary,1.3
USER_1032,59,Male,Karachi,Doctor,582000,Current,12.1
USER_1033,33,Male,Rawalpindi,Business Owner,620000,Savings,6.6
USER_1034,47,Male,Lahore,Shopkeeper,224000,Savings,1.2
USER_1035,18,Male,Rawalpindi,Salaried Employee,123000,Current,7.5
USER_1036,21,Male,Hyderabad,Student,23000,Current,13.9
USER_1037,36,Female,Quetta,Driver,54000,Current,2.7
USER_1038,31,Male,Sialkot,Retired,38000,Salary,5
USER_1039,55,Female,Quetta,Business Owner,315000,Savings,14.4
USER_1040,29,Female,Sialkot,Housewife,5000,Current,2.2
USER_1041,33,Female,Sialkot,Housewife,20000,Salary,9
USER_1042,38,Female,Rawalpindi,Driver,53000,Current,4
USER_1043,26,Female,Peshawar,Engineer,139000,Savings,7.1
USER_1044,24,Male,Quetta,Government Employee,126000,Current,2.4
USER_1045,22,Male,Multan,Teacher,70000,Current,12.6
USER_1046,37,Male,Quetta,Teacher,103000,Savings,14.1
USER_1047,34,Male,Lahore,Retired,50000,Current,4.6
USER_1048,63,Female,Rawalpindi,Driver,51000,Current,7.8
USER_1049,21,Male,Hyderabad,Teacher,63000,Savings,5.3
USER_1050,58,Female,Islamabad,Retired,88000,Salary,10.7
USER_1051,18,Male,Lahore,Retired,50000,Salary,1
USER_1052,55,Male,Hyderabad,Salaried Employee,75000,Current,5.8
USER_1053,40,Male,Rawalpindi,Driver,33000,Current,11.8
USER_1054,57,Male,Rawalpindi,Salaried Employee,93000,Current,0.9
USER_1055,39,Female,Rawalpindi,Teacher,70000,Salary,2.1
USER_1056,48,Male,Rawalpindi,Shopkeeper,172000,Current,12.4
USER_1057,32,Male,Rawalpindi,Doctor,372000,Current,13
USER_1058,40,Female,Quetta,Engineer,127000,Savings,13.2
USER_1059,29,Female,Karachi,Housewife,20000,Current,11.1
USER_1060,45,Male,Hyderabad,Freelancer,170000,Current,1.1
USER_1061,18,Male,Multan,Doctor,237000,Salary,13.9
USER_1062,38,Male,Faisalabad,Business Owner,474000,Salary,6.4
USER_1063,62,Female,Quetta,Salaried Employee,95000,Current,10.1
USER_1064,61,Male,Sialkot,Freelancer,228000,Current,8.4
USER_1065,37,Female,Rawalpindi,Doctor,504000,Salary,10
USER_1066,46,Female,Rawalpindi,Business Owner,646000,Salary,3
USER_1067,36,Female,Lahore,Government Employee,148000,Current,3.8
USER_1068,27,Male,Karachi,Government Employee,122000,Salary,12.8
USER_1069,47,Female,Sialkot,Government Employee,154000,Salary,6.1
USER_1070,33,Female,Karachi,Housewife,20000,Savings,3.1
USER_1071,51,Female,Karachi,Business Owner,411000,Savings,7.1
USER_1072,60,Female,Peshawar,Freelancer,335000,Current,12.5
USER_1073,46,Male,Peshawar,Shopkeeper,148000,Savings,12.7
USER_1074,67,Female,Rawalpindi,Teacher,89000,Savings,10.8
USER_1075,35,Female,Multan,Business Owner,234000,Savings,2.7
USER_1076,62,Female,Rawalpindi,Housewife,20000,Current,5.3
USER_1077,44,Male,Rawalpindi,Doctor,404000,Salary,14.2
USER_1078,66,Female,Peshawar,Student,22000,Current,11.4
USER_1079,52,Male,Peshawar,Government Employee,96000,Current,7.5
USER_1080,39,Female,Islamabad,Shopkeeper,113000,Salary,8.2
USER_1081,55,Male,Lahore,Driver,44000,Savings,13.1
USER_1082,21,Female,Hyderabad,Engineer,175000,Current,5.2
USER_1083,35,Female,Faisalabad,Housewife,25000,Savings,11.4
USER_1084,40,Male,Lahore,Driver,31000,Savings,14.3
USER_1085,19,Male,Rawalpindi,Salaried Employee,132000,Salary,2.2
USER_1086,47,Female,Multan,Salaried Employee,149000,Salary,14.5
USER_1087,25,Female,Faisalabad,Housewife,0,Current,8.8
USER_1088,43,Male,Lahore,Freelancer,399000,Savings,2
USER_1089,61,Male,Sialkot,Student,21000,Salary,6.7
USER_1090,22,Female,Karachi,Doctor,457000,Savings,6.8
USER_1091,58,Female,Islamabad,Doctor,292000,Salary,8.1
USER_1092,35,Female,Peshawar,Doctor,583000,Salary,4.4
USER_1093,23,Female,Peshawar,Government Employee,158000,Current,8.8
