Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,Age,Gender,City,Profession,Monthly_Income_PKR,Account_Type,Account_Age_Years
TXN_33553,USER_1834,11141.2,POS,2023-08-14 19:30:00,26099687.6,Laptop,Karachi,Travel,0,0,7,122536.4,3,Amex,65,883.17,Biometric,0.8494,0,0,63,Female,Karachi,Teacher,87000,Savings,7.7
TXN_9427,USER_7875,333.2,Bank Transfer,2023-06-07 04:01:00,21203070.0,Mobile,Lahore,Clothing,0,0,13,134052.8,4,Mastercard,186,2203.36,Password,0.0959,0,1,54,Female,Karachi,Shopkeeper,227000,Current,4.0
TXN_199,USER_2734,8108.8,Online,2023-06-20 15:25:00,444908.8,Tablet,Islamabad,Restaurants,0,0,14,14002.8,4,Visa,226,1909.29,Biometric,0.84,0,1,58,Male,Faisalabad,Shopkeeper,187000,Savings,8.8
TXN_12447,USER_2617,71209.6,ATM Withdrawal,2023-12-07 00:31:00,21506016.0,Tablet,Lahore,Clothing,0,0,8,51094.4,4,Visa,76,1311.86,OTP,0.7935,0,1,58,Male,Faisalabad,Driver,40000,Salary,14.8
TXN_39489,USER_2014,8758.4,POS,2023-11-11 23:44:00,25859304.8,Mobile,Islamabad,Electronics,0,1,14,92033.2,4,Mastercard,140,966.98,Password,0.3819,1,1,65,Male,Lahore,Engineer,172000,Current,3.4
TXN_42724,USER_6852,47194.0,Online,2023-06-05 20:55:00,9306343.2,Laptop,Rawalpindi,Restaurants,0,0,3,63518.0,2,Discover,51,1725.64,OTP,0.0504,0,0,50,Female,Quetta,Doctor,373000,Salary,14.0
TXN_10822,USER_5052,1061.2,POS,2023-11-07 01:18:00,24313570.4,Tablet,Peshawar,Restaurants,0,0,2,83538.0,2,Mastercard,168,3757.19,Password,0.0875,0,0,37,Female,Sialkot,Business Owner,637000,Savings,9.6
TXN_49498,USER_4660,1982.4,ATM Withdrawal,2023-02-25 03:43:00,12831355.6,Tablet,Peshawar,Restaurants,0,0,3,46026.4,4,Discover,182,1764.66,Biometric,0.5326,0,1,38,Male,Islamabad,Retired,74000,Current,1.4
TXN_4144,USER_1584,9590.0,ATM Withdrawal,2023-03-09 22:51:00,26429858.0,Tablet,Rawalpindi,Clothing,0,0,7,25205.6,3,Visa,24,550.38,Biometric,0.1347,1,0,58,Male,Peshawar,Shopkeeper,234000,Salary,2.5
TXN_36958,USER_9498,4547.2,POS,2023-09-20 17:27:00,25720791.6,Mobile,Islamabad,Travel,0,0,6,132837.6,1,Mastercard,124,720.91,PIN,0.3394,0,0,37,Female,Quetta,Teacher,112000,Current,8.7
TXN_43106,USER_2848,102900.0,POS,2023-04-11 07:11:00,4099225.2,Laptop,Islamabad,Electronics,0,0,4,111322.4,0,Amex,136,292.36,PIN,0.643,0,0,70,Female,Islamabad,Shopkeeper,211000,Savings,8.2
TXN_38695,USER_6860,14123.2,ATM Withdrawal,2023-08-06 08:22:00,5589421.6,Laptop,Peshawar,Travel,0,0,14,77994.0,1,Discover,131,3993.62,PIN,0.4582,0,0,44,Female,Quetta,Student,17000,Salary,11.2
TXN_6188,USER_6728,15540.0,ATM Withdrawal,2023-07-20 03:10:00,25106096.4,Laptop,Peshawar,Groceries,0,0,6,135402.4,4,Discover,192,3721.54,OTP,0.5837,0,1,33,Male,Karachi,Retired,40000,Current,2.3
TXN_1414,USER_6655,15145.2,Bank Transfer,2023-11-17 20:13:00,14360402.0,Mobile,Karachi,Electronics,0,0,11,42736.4,2,Amex,91,1061.27,PIN,0.1454,0,0,21,Male,Rawalpindi,Retired,60000,Savings,7.8
TXN_18471,USER_7651,2704.8,Online,2023-06-20 17:15:00,3477647.6,Tablet,Lahore,Electronics,0,0,6,48711.6,0,Mastercard,5,762.21,OTP,0.0793,1,0,26,Male,Multan,Salaried Employee,142000,Salary,8.4
TXN_29282,USER_1248,18138.4,POS,2023-07-03 09:20:00,6576572.8,Laptop,Islamabad,Restaurants,0,0,1,4998.0,2,Amex,3,3378.44,Password,0.2245,0,0,59,Female,Rawalpindi,Housewife,0,Salary,3.2
TXN_15177,USER_9349,10390.8,POS,2023-12-21 08:48:00,26033814.8,Tablet,Karachi,Electronics,0,0,12,128077.6,3,Visa,135,395.36,Biometric,0.1136,1,0,20,Male,Karachi,Shopkeeper,137000,Current,1.5
TXN_34304,USER_9413,442.4,Bank Transfer,2023-04-08 09:13:00,17661380.8,Laptop,Lahore,Clothing,0,0,13,86657.2,1,Amex,47,2074.77,Biometric,0.3433,0,0,25,Male,Sialkot,Salaried Employee,105000,Current,2.2
TXN_12609,USER_5861,49996.8,POS,2023-08-16 10:01:00,17460665.6,Tablet,Rawalpindi,Groceries,0,0,4,137538.8,4,Visa,29,2159.31,Password,0.444,1,1,56,Female,Sialkot,Driver,44000,Current,12.1
TXN_12144,USER_5939,5423.6,Bank Transfer,2023-04-29 04:34:00,9636482.8,Tablet,Peshawar,Travel,0,0,9,45780.0,3,Discover,129,4436.61,PIN,0.2924,0,0,56,Male,Faisalabad,Doctor,488000,Salary,13.8
TXN_6113,USER_5566,6165.6,ATM Withdrawal,2023-12-28 04:45:00,15638386.4,Mobile,Karachi,Electronics,0,0,13,50324.4,3,Visa,204,633.99,PIN,0.1305,1,0,62,Female,Multan,Freelancer,165000,Savings,5.2
TXN_15908,USER_4615,57111.6,ATM Withdrawal,2023-06-18 23:36:00,20612734.8,Mobile,Lahore,Restaurants,1,0,4,135016.0,4,Mastercard,173,4723.22,Password,0.8633,1,1,20,Male,Karachi,Shopkeeper,234000,Savings,3.7
TXN_821,USER_3832,15498.0,POS,2023-05-11 16:15:00,24721835.6,Tablet,Karachi,Electronics,0,0,12,79360.4,0,Visa,80,625.67,PIN,0.7883,1,0,51,Male,Lahore,Doctor,389000,Salary,9.2
TXN_15118,USER_9751,4807.6,ATM Withdrawal,2023-11-25 07:35:00,20155332.4,Mobile,Karachi,Electronics,0,0,2,10208.8,2,Mastercard,165,3402.37,PIN,0.0233,0,0,41,Male,Peshawar,Shopkeeper,93000,Savings,14.0
TXN_13466,USER_9775,20252.4,ATM Withdrawal,2023-08-14 21:55:00,8387299.2,Mobile,Karachi,Clothing,0,0,3,65408.0,4,Discover,120,3956.54,Password,0.408,1,1,53,Female,Hyderabad,Business Owner,869000,Salary,8.6
TXN_26497,USER_6725,52850.0,Online,2023-07-16 07:49:00,16262024.8,Mobile,Karachi,Travel,0,1,4,138628.0,0,Amex,85,3935.53,Password,0.1379,0,0,70,Male,Karachi,Engineer,226000,Salary,7.1
TXN_42111,USER_3085,730.8,Bank Transfer,2023-01-11 00:41:00,14505013.6,Tablet,Rawalpindi,Groceries,0,0,1,107147.6,2,Visa,86,4963.49,Biometric,0.5355,0,0,34,Female,Hyderabad,Engineer,131000,Current,11.4
TXN_30188,USER_7987,54812.8,Online,2023-11-28 19:13:00,23800190.4,Tablet,Islamabad,Travel,0,1,14,63532.0,1,Mastercard,65,4045.87,PIN,0.2553,1,0,63,Female,Rawalpindi,Business Owner,761000,Salary,12.4
TXN_37237,USER_1116,2256.8,ATM Withdrawal,2023-07-09 22:27:00,10683436.4,Laptop,Karachi,Travel,0,0,9,83644.4,4,Mastercard,232,1819.59,Password,0.4784,0,1,50,Female,Peshawar,Housewife,0,Current,11.2
TXN_33109,USER_8088,20535.2,Bank Transfer,2023-04-20 13:18:00,20176965.2,Laptop,Peshawar,Clothing,0,0,9,121774.8,2,Visa,92,4779.55,Biometric,0.4097,0,0,60,Female,Peshawar,Shopkeeper,131000,Salary,11.0
TXN_36480,USER_4147,2749.6,Bank Transfer,2023-11-08 14:12:00,11199137.6,Mobile,Karachi,Electronics,0,0,13,11877.6,2,Discover,152,2772.48,Password,0.9658,0,1,58,Male,Islamabad,Teacher,96000,Current,0.9
TXN_24148,USER_7419,55218.8,Online,2023-04-29 17:19:00,9092244.0,Laptop,Karachi,Electronics,0,0,14,75062.4,0,Visa,225,1947.0,PIN,0.8843,0,1,65,Male,Hyderabad,Student,14000,Current,4.0
TXN_5503,USER_7666,15806.0,ATM Withdrawal,2023-08-22 00:16:00,427014.0,Mobile,Islamabad,Restaurants,0,0,8,77708.4,3,Amex,103,1031.7,Password,0.6745,0,0,23,Male,Quetta,Engineer,280000,Savings,0.9
TXN_3918,USER_5135,89.6,Online,2023-11-18 02:35:00,10986298.4,Mobile,Karachi,Electronics,0,0,11,18592.0,1,Amex,38,1548.07,OTP,0.5475,1,0,19,Female,Faisalabad,Shopkeeper,143000,Salary,8.3
TXN_38478,USER_8041,17872.4,POS,2023-04-24 20:18:00,21147347.2,Laptop,Karachi,Restaurants,0,0,14,19373.2,1,Visa,45,3878.08,Biometric,0.6558,0,0,33,Female,Rawalpindi,Housewife,5000,Current,8.9
TXN_21123,USER_2155,41358.8,POS,2023-04-11 16:20:00,11384811.2,Laptop,Karachi,Restaurants,0,0,5,53510.8,2,Mastercard,20,3055.68,OTP,0.1327,0,0,49,Female,Peshawar,Retired,94000,Salary,14.6
