User_ID,Transaction_Amount,Account_Balance,IP_Address_Flag,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Transaction_Type,Device_Type,Merchant_Category,Card_Type,Authentication_Method,Timestamp,Is_Weekend,Bank_Name,Fraud_Label,Age,Gender,City,Profession,Monthly_Income_PKR,Account_Type,Account_Age_Years
USER_1834,11141.2,26099687.6,0,7,122536.4,3,65,883.17,POS,Desktop,Travel,Amex,Biometric,2023-08-14 19:30:00,0,MCB,0,63,Female,Karachi,Teacher,87000,Savings,7.7
USER_7875,333.2,21203070.0,0,13,134052.8,4,186,2203.36,Bank_Transfer,Mobile,Clothing,Mastercard,Password,2023-06-07 04:01:00,0,Allied Bank,1,54,Female,Karachi,Shopkeeper,227000,Current,4.0
USER_2734,8108.8,444908.8,0,14,14002.8,4,226,1909.29,E_Commerce,Tablet,Restaurants,Visa,Biometric,2023-06-20 15:25:00,0,UBL,1,58,Male,Faisalabad,Shopkeeper,187000,Savings,8.8
USER_2617,71209.6,21506016.0,0,8,51094.4,4,76,1311.86,ATM,Tablet,Clothing,Visa,OTP,2023-12-07 00:31:00,0,Allied Bank,1,58,Male,Faisalabad,Driver,40000,Salary,14.8
USER_2014,8758.4,25859304.8,0,14,92033.2,4,140,966.98,POS,Mobile,Electronics,Mastercard,Password,2023-11-11 23:44:00,1,Allied Bank,1,65,Male,Lahore,Engineer,172000,Current,3.4
USER_6852,47194.0,9306343.2,0,3,63518.0,2,51,1725.64,E_Commerce,Desktop,Restaurants,Discover,OTP,2023-06-05 20:55:00,0,Meezan,0,50,Female,Quetta,Doctor,373000,Salary,14.0
USER_5052,1061.2,24313570.4,0,2,83538.0,2,168,3757.19,POS,Tablet,Restaurants,Mastercard,Password,2023-11-07 01:18:00,0,UBL,0,37,Female,Sialkot,Business Owner,637000,Savings,9.6
USER_4660,1982.4,12831355.6,0,3,46026.4,4,182,1764.66,ATM,Tablet,Restaurants,Discover,Biometric,2023-02-25 03:43:00,0,UBL,1,38,Male,Islamabad,Retired,74000,Current,1.4
USER_1584,9590.0,26429858.0,0,7,25205.6,3,24,550.38,ATM,Tablet,Clothing,Visa,Biometric,2023-03-09 22:51:00,1,UBL,0,58,Male,Peshawar,Shopkeeper,234000,Salary,2.5
USER_9498,4547.2,25720791.6,0,6,132837.6,1,124,720.91,POS,Mobile,Travel,Mastercard,PIN,2023-09-20 17:27:00,0,Allied Bank,0,37,Female,Quetta,Teacher,112000,Current,8.7
USER_2848,102900.0,4099225.2,0,4,111322.4,0,136,292.36,POS,Desktop,Electronics,Amex,PIN,2023-04-11 07:11:00,0,MCB,0,70,Female,Islamabad,Shopkeeper,211000,Savings,8.2
USER_6860,14123.2,5589421.6,0,14,77994.0,1,131,3993.62,ATM,Desktop,Travel,Discover,PIN,2023-08-06 08:22:00,0,UBL,0,44,Female,Quetta,Student,17000,Salary,11.2
